,Date,Province,Vaccine dose 1,Booster vaccine 2,Booster vaccine 3,Booster vaccine 4,Total vaccine,Vaccine coverage dose 1,Vaccine coverage booster 2,Vaccine coverage booster 3,Vaccine coverage booster 4,Cases,Deaths,Hospitalizations,ICU,Tests Completed,Deaths
71,2021-02-23,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,1.0,15.0,3.0,9187.0,1.0
72,2021-02-24,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,2.0,-1.0,-5.0,8270.0,2.0
73,2021-02-25,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,10.0,-9.0,-2.0,9764.0,10.0
74,2021-02-26,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,7.0,4.0,1.0,8762.0,7.0
75,2021-02-27,BC,28514.0,28804.0,0.0,0.0,57318.0,0.6,0.5,0.0,0.0,493.0,0.0,0.0,0.0,8720.0,0.0
76,2021-02-28,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,6726.0,0.0
77,2021-03-01,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,8.0,4.0,2.0,6415.0,8.0
78,2021-03-02,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,2.0,7.0,-2.0,9189.0,2.0
79,2021-03-03,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,7.0,3.0,1.0,8282.0,7.0
80,2021-03-04,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,4.0,2.0,-1.0,10384.0,4.0
81,2021-03-05,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,4.0,7.0,3.0,9441.0,4.0
82,2021-03-06,BC,54793.0,3037.0,0.0,0.0,57830.0,1.0,0.1,0.0,0.0,556.0,0.0,0.0,0.0,9712.0,0.0
83,2021-03-07,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,0.0,6607.0,0.0
84,2021-03-08,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,11.0,-15.0,0.0,6560.0,11.0
85,2021-03-09,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,2.0,9.0,2.0,9147.0,2.0
86,2021-03-10,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,1.0,-5.0,-2.0,8983.0,1.0
87,2021-03-11,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,3.0,0.0,2.0,9270.0,3.0
88,2021-03-12,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,11.0,-1.0,8963.0,0.0
89,2021-03-13,BC,75633.0,121.0,0.0,0.0,75754.0,1.5,0.0,0.0,0.0,525.0,0.0,0.0,0.0,8660.0,0.0
90,2021-03-14,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,7198.0,0.0
91,2021-03-15,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,10.0,14.0,9.0,7101.0,10.0
92,2021-03-16,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,11.0,8.0,8843.0,0.0
93,2021-03-17,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,4.0,1.0,-1.0,8234.0,4.0
94,2021-03-18,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,8.0,5.0,2.0,9789.0,8.0
95,2021-03-19,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,2.0,6.0,0.0,8010.0,2.0
96,2021-03-20,BC,130295.0,100.0,0.0,0.0,130395.0,2.5,0.0,0.0,0.0,614.0,0.0,0.0,0.0,8677.0,0.0
97,2021-03-21,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,0.0,0.0,6433.0,0.0
98,2021-03-22,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,16.0,11.0,-5.0,6006.0,16.0
99,2021-03-23,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,1.0,11.0,3.0,8152.0,1.0
100,2021-03-24,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,3.0,-11.0,2.0,8869.0,3.0
101,2021-03-25,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0,5.0,3.0,-6.0,9017.0,5.0
102,2021-03-26,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884.0,3.0,-12.0,2.0,9345.0,3.0
103,2021-03-27,BC,160487.0,159.0,0.0,0.0,160646.0,3.1,0.0,0.0,0.0,826.0,0.0,0.0,0.0,9406.0,0.0
104,2021-03-28,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0,0.0,0.0,0.0,7335.0,0.0
105,2021-03-29,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.0,6.0,5.0,-2.0,7579.0,6.0
106,2021-03-30,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,13.0,-1.0,9984.0,0.0
107,2021-03-31,BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,3.0,-11.0,2.0,9880.0,3.0
