"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-04-01,89294,85424,3833,,2438650,2069281,1709791,718980,359490,
2021-04-02,93065,88843,4206,,2531715,2158038,1794394,727288,363644,
2021-04-03,60984,59313,1729,,2592699,2217260,1851938,730644,365322,
2021-04-04,72323,70673,1646,,2665022,2287822,1920912,733820,366910,
2021-04-05,53725,53256,469,,2718747,2340994,1973663,734662,367331,
2021-04-06,79568,77705,1883,,2798315,2418598,2049437,738322,369161,
2021-04-07,107992,104931,3053,,2906307,2523404,2151248,744312,372156,
2021-04-08,114060,110097,4020,,3020367,2633390,2257270,752240,376120,
2021-04-09,109824,105608,4290,,3130191,2738880,2358535,760690,380345,
2021-04-10,109218,105468,3843,,3239409,2844220,2460098,768244,384122,
2021-04-11,98609,95499,3254,,3338018,2939594,2552277,774634,387317,
2021-04-12,76057,74996,1154,,3414075,3014442,2626039,776806,388403,
2021-04-13,99452,96079,3395,,3513527,3110412,2718662,783500,391750,
2021-04-14,117029,113271,3647,,3630556,3223565,2828208,790714,395357,
2021-04-15,113547,109495,3894,,3744103,3332934,2933740,798388,399194,
2021-04-16,118092,113723,4191,,3862195,3446547,3043206,806682,403341,
2021-04-17,112398,107816,4443,,3974593,3554229,3146504,815450,407725,
2021-04-18,88729,86498,2099,,4063322,3640604,3230834,819540,409770,
2021-04-19,68958,67432,1447,,4132280,3707906,3296740,822332,411166,
2021-04-20,101905,98586,3115,,4234185,3806330,3392114,828432,414216,
2021-04-21,141977,137713,4030,,4376162,3943869,3525691,836356,418178,
2021-04-22,139456,135317,3901,,4515618,4079057,3657034,844046,422023,
2021-04-23,138183,131785,6155,,4653801,4210688,3782568,856240,428120,
2021-04-24,130268,126217,3880,,4784069,4336757,3904813,863888,431944,
2021-04-25,102003,98601,3174,,4886072,4435210,4000159,870102,435051,
2021-04-26,70996,69294,1555,,4957068,4504373,4067827,873092,436546,
2021-04-27,98482,95411,2882,,5055550,4599623,4160258,878730,439365,
2021-04-28,120557,115943,4424,,5176107,4715398,4271681,887434,443717,
2021-04-29,124464,119275,5044,,5300571,4834506,4385814,897384,448692,
2021-04-30,115793,110553,5005,,5416364,4944886,4491266,907240,453620,
2021-05-01,111267,107416,3636,,5527631,5052121,4594942,914358,457179,
2021-05-02,79124,76153,2859,,5606755,5128117,4668145,919944,459972,
2021-05-03,56780,55115,1593,,5663535,5183077,4721572,923010,461505,
2021-05-04,91913,88546,3281,,5755448,5271445,4806736,929418,464709,
2021-05-05,137975,133277,4614,,5893423,5404553,4935293,938520,469260,
2021-05-06,141823,136873,4813,,6035246,5541242,5067231,948022,474011,
2021-05-07,150253,145226,4828,,6185499,5686308,5207528,957560,478780,
2021-05-08,142436,137758,4430,,6327935,5823871,5340740,966262,483131,
2021-05-09,124786,121142,3477,,6452721,5944849,5458305,973088,486544,
2021-05-10,97789,95814,1875,,6550510,6040474,5552122,976704,488352,
2021-05-11,113501,108840,4484,,6664011,6149112,5656347,985530,492765,
2021-05-12,145014,137998,6870,,6809025,6286931,5787362,999138,499569,
2021-05-13,142644,135298,7200,,6951669,6422054,5915359,1013390,506695,
2021-05-14,148856,138758,9930,,7100525,6560624,6044064,1033120,516560,
2021-05-15,159701,149669,9855,,7260226,6710106,6183766,1052680,526340,
2021-05-16,144341,136076,8061,,7404567,6846014,6311693,1068642,534321,
2021-05-17,114959,110864,3942,,7519526,6956689,6418502,1076374,538187,
2021-05-18,111294,100439,10655,,7630820,7056932,6508152,1097560,548780,
2021-05-19,149850,133450,16224,,7780670,7190230,6625300,1129860,564930,
2021-05-20,151535,131554,19769,,7932205,7321595,6736965,1169260,584630,
2021-05-21,165350,140856,24239,,8097555,7462270,6853478,1217584,608792,
2021-05-22,199397,172218,26953,,8296952,7634291,6998627,1271328,635664,
2021-05-23,139807,127441,12222,,8436759,7761554,7113730,1295648,647824,
2021-05-24,100281,93311,6825,,8537040,7854692,7200113,1309158,654579,
2021-05-25,90432,82953,7271,,8627472,7937482,7275699,1323566,661783,
2021-05-26,139747,112985,26498,,8767219,8050280,7362069,1376422,688211,
2021-05-27,152040,123024,28764,,8919259,8173147,7456241,1433812,716906,
2021-05-28,163833,132285,31242,,9083092,8305259,7557170,1496178,748089,
2021-05-29,153354,117101,36021,,9236446,8422211,7638157,1568108,784054,
2021-05-30,149696,119000,30472,,9386142,8541041,7726577,1628928,814464,
2021-05-31,99193,79800,19202,,9485335,8620671,7787069,1667204,833602,
2021-06-01,124162,90590,33238,,9609497,8711066,7844301,1733530,866765,
2021-06-02,145275,102122,42905,,9754772,8813007,7903406,1819202,909601,
2021-06-03,155328,99888,55163,,9910100,8912711,7948018,1929386,964693,
2021-06-04,181682,115514,65900,,10091782,9028026,7997521,2061010,1030505,
2021-06-05,171981,103405,68301,,10263763,9131233,8032512,2197442,1098721,
2021-06-06,163359,91840,71239,,10427122,9222895,8053005,2339780,1169890,
2021-06-07,119547,63040,56290,,10546669,9285738,8059633,2452210,1226105,
2021-06-08,161870,72431,89002,,10708539,9357980,8042953,2630054,1315027,
2021-06-09,181437,70789,110184,,10889976,9428592,8003462,2850260,1425130,
2021-06-10,185551,66406,118658,,11075527,9494795,7951098,3087394,1543697,
2021-06-11,204753,67497,136504,,11280280,9562106,7881987,3360238,1680119,
2021-06-12,199694,62652,136445,,11479974,9624576,7808104,3632944,1816472,
2021-06-13,190302,58863,130913,,11670276,9683264,7735959,3894610,1947305,
2021-06-14,137672,38685,98593,,11807948,9721753,7675960,4091586,2045793,
2021-06-15,189184,42586,146248,,11997132,9764121,7572177,4383888,2191944,
2021-06-16,206103,42418,163045,,12203235,9806343,7451457,4709772,2354886,
2021-06-17,210380,37919,171884,,12413615,9844047,7317369,5053356,2526678,
2021-06-18,217120,35340,181179,,12630735,9879197,7171432,5415530,2707765,
2021-06-19,215837,35477,179692,,12846572,9914468,7027123,5774690,2887345,
2021-06-20,186237,35545,150117,,13032809,9949815,6912461,6074708,3037354,
2021-06-21,120414,20818,99099,,13153223,9970438,6834077,6272722,3136361,
2021-06-22,204896,27488,176657,,13358119,9997732,6684823,6625818,3312909,
2021-06-23,230491,28612,201144,,13588610,10026144,6512199,7027890,3513945,
2021-06-24,227656,26662,200246,,13816266,10052610,6338529,7428162,3714081,
2021-06-25,251074,27962,222368,,14067340,10080371,6144040,7872662,3936331,
2021-06-26,261257,29990,230566,,14328597,10110136,5943379,8333514,4166757,
2021-06-27,204975,27776,176597,,14533572,10137730,5794486,8686488,4343244,
2021-06-28,199232,20950,177724,,14732804,10158482,5637639,9041686,4520843,
2021-06-29,250089,24482,224880,,14982893,10182723,5437154,9491138,4745569,
2021-06-30,275510,24165,250780,,15258403,10206685,5210465,9992440,4996220,
2021-07-01,271949,25296,246102,,15530352,10231763,4989580,10484366,5242183,
2021-07-02,144704,11580,132900,,15675056,10243169,4868188,10749962,5374981,
2021-07-03,216874,19919,196723,,15891930,10262866,4691311,11143110,5571555,
2021-07-04,196141,19397,176522,,16088071,10282077,4534119,11495916,5747958,
2021-07-05,148708,12436,136130,,16236779,10294324,4410363,11767922,5883961,
2021-07-06,220004,19982,199809,,16456783,10314090,4230466,12167248,6083624,
2021-07-07,246593,22961,223392,,16703376,10336825,4029957,12613736,6306868,
2021-07-08,231179,21342,209628,,16934555,10357961,3841600,13032722,6516361,
2021-07-09,226968,21498,205304,,17161523,10379257,3657724,13443066,6721533,
2021-07-10,209044,20533,188358,,17370567,10399586,3489832,13819508,6909754,
2021-07-11,171648,17565,153958,,17542215,10416950,3353385,14127130,7063565,
2021-07-12,123116,11441,111579,,17665331,10428202,3253195,14350014,7175007,
2021-07-13,178464,19015,159307,,17843795,10446995,3112836,14668318,7334159,
2021-07-14,180012,19293,160563,,18023807,10466073,2971514,14989118,7494559,
2021-07-15,167171,19578,147421,,18190978,10485440,2843624,15283632,7641816,
2021-07-16,169317,19885,149280,,18360295,10505123,2714180,15581886,7790943,
2021-07-17,172971,20252,152594,,18533266,10525126,2581781,15886690,7943345,
2021-07-18,133609,15919,117551,,18666875,10540861,2480113,16121496,8060748,
2021-07-19,91960,10410,81443,,18758835,10551058,2409042,16284032,8142016,
2021-07-20,133514,16937,116519,,18892349,10567755,2309396,16516718,8258359,
2021-07-21,140066,16976,123020,,19032415,10584516,2203299,16762434,8381217,
2021-07-22,125573,17625,107814,,19157988,10601917,2113063,16977708,8488854,
2021-07-23,120235,16979,103050,,19278223,10618655,2026950,17183410,8591705,
2021-07-24,126668,18323,108108,,19404891,10636775,1937125,17399300,8699650,
2021-07-25,103613,14851,88634,,19508504,10651402,1863299,17576206,8788103,
2021-07-26,66672,9880,56700,,19575176,10661064,1816442,17689244,8844622,
2021-07-27,92355,15312,76882,,19667531,10676115,1754828,17842574,8921287,
2021-07-28,93906,16443,77387,,19761437,10692323,1693840,17996966,8998483,
2021-07-29,89369,16692,72514,,19850806,10708783,1637974,18141618,9070809,
2021-07-30,84027,16088,67826,,19934833,10724643,1586196,18276894,9138447,
2021-07-31,83813,15693,67968,,20018646,10740118,1533893,18412450,9206225,
2021-08-01,61848,11306,50361,,20080494,10751198,1494803,18512790,9256395,
2021-08-02,42463,7400,34945,,20122957,10758400,1467226,18582348,9291174,
2021-08-03,33265,5945,27152,,20156222,10764112,1445996,18636232,9318116,
2021-08-04,61290,12359,48739,,20217512,10776236,1409579,18733314,9366657,
2021-08-05,59420,12524,46742,,20276932,10788552,1375317,18826470,9413235,
2021-08-06,55992,11842,43934,,20332924,10800134,1343194,18913880,9456940,
2021-08-07,62343,12118,50029,,20395267,10811991,1305240,19013502,9506751,
2021-08-08,48645,9247,39211,,20443912,10821010,1275253,19091514,9545757,
2021-08-09,30837,5929,24735,,20474749,10826725,1256420,19140610,9570305,
2021-08-10,49221,10493,38430,,20523970,10836938,1228449,19216978,9608489,
2021-08-11,48698,10757,37700,,20572668,10847448,1201475,19291946,9645973,
2021-08-12,49212,11180,37807,,20621880,10858377,1174806,19367142,9683571,
2021-08-13,49592,11716,37603,,20671472,10869852,1148889,19441926,9720963,
2021-08-14,51189,12121,38860,,20722661,10881723,1122124,19519198,9759599,
2021-08-15,41733,9837,31676,,20764394,10891358,1100255,19582206,9791103,
2021-08-16,26717,6172,20390,,20791111,10897307,1086011,19622592,9811296,
2021-08-17,40476,11044,29170,,20831587,10908101,1067861,19680480,9840240,
2021-08-18,41871,11956,29675,,20873458,10919815,1050110,19739410,9869705,
2021-08-19,45860,16513,29086,,20919318,10936077,1037509,19797136,9898568,
2021-08-20,46405,16269,29722,,20965723,10952090,1024029,19856122,9928061,
2021-08-21,47928,15136,32423,,21013651,10966966,1006709,19920514,9960257,
2021-08-22,34366,10797,23302,,21048017,10977517,994180,19966674,9983337,
2021-08-23,23214,7002,15996,,21071231,10984284,985165,19998238,9999119,
2021-08-24,37627,13359,23812,,21108858,10997389,974689,20045400,10022700,
2021-08-25,41303,14399,26299,,21150161,11011532,962770,20097524,10048762,
2021-08-26,39245,13548,24955,,21189406,11024804,951328,20146952,10073476,
2021-08-27,37634,12917,23674,,21227040,11037480,940544,20193872,10096936,
2021-08-28,40082,13407,25501,,21267122,11050609,928426,20244366,10122183,
2021-08-29,30521,10234,19932,,21297643,11060611,918709,20283804,10141902,
2021-08-30,18225,6136,11840,,21315868,11066499,912976,20307046,10153523,
2021-08-31,32690,11930,19611,,21348558,11078161,905267,20345788,10172894,
2021-09-01,36213,12933,21936,,21384771,11090861,896248,20389226,10194613,
2021-09-02,37740,15631,19650,,21422511,11106240,892204,20428072,10214036,
2021-09-03,46837,21066,22423,,21469348,11127058,890828,20472460,10236230,
2021-09-04,46851,20579,24760,,21516199,11147391,886624,20521534,10260767,
2021-09-05,33049,14198,18565,,21549248,11161345,882237,20558216,10279108,
2021-09-06,21690,9478,12025,,21570938,11170574,879673,20581802,10290901,
2021-09-07,14975,6714,8079,,21585913,11177031,878291,20597480,10298740,
2021-09-08,41117,17101,20923,,21627030,11193868,874451,20638834,10319417,
2021-09-09,41424,16965,19663,,21668454,11210556,871728,20677656,10338828,
2021-09-10,39609,15496,18980,,21708063,11225790,868226,20715128,10357564,
2021-09-11,42349,15926,23323,,21750412,11241437,860808,20761258,10380629,
2021-09-12,29943,11525,17858,,21780355,11252668,854445,20796446,10398223,
2021-09-13,16065,6397,9172,,21796420,11258831,851655,20814352,10407176,
2021-09-14,29881,11551,15278,,21826301,11270081,847901,20844360,10422180,
2021-09-15,39253,14013,19410,,21865554,11283835,842489,20882692,10441346,
2021-09-16,39324,13974,19236,,21904878,11297574,837204,20920740,10460370,
2021-09-17,38897,13598,19321,,21943775,11310929,831469,20958920,10479460,
2021-09-18,41197,14074,23502,,21984972,11324730,822020,21005420,10502710,
2021-09-19,30636,10822,18970,,22015608,11335293,813859,21042868,10521434,
2021-09-20,16723,6100,10171,,22032331,11341139,809765,21062748,10531374,
2021-09-21,31335,11205,16978,,22063666,11352079,803976,21096206,10548103,
2021-09-22,41791,14812,22914,,22105457,11366595,795853,21141484,10570742,
2021-09-23,47201,16129,26016,,22152658,11382461,785947,21193028,10596514,
