"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-11-20,40096,4379,8807,,23636415,11752550,399563,22705974,11352987,
2021-11-21,28102,3431,6941,,23664517,11755719,396039,22719360,11359680,
2021-11-22,14890,1949,3890,,23679407,11757392,394092,22726600,11363300,
2021-11-23,33041,3271,6002,,23712448,11760383,391353,22738060,11369030,
2021-11-24,42624,3752,6787,,23755072,11763831,388307,22751048,11375524,
2021-11-25,46018,3931,6555,,23801090,11767487,385680,22763614,11381807,
2021-11-26,52816,11342,6606,,23853906,11778559,390409,22776300,11388150,
2021-11-27,63492,22349,7023,,23917398,11800627,405725,22789804,11394902,
2021-11-28,51446,27738,5308,,23968844,11828073,428143,22799860,11399930,
2021-11-29,33517,18932,2876,,24002361,11846744,444188,22805112,11402556,
2021-11-30,55995,20669,5119,,24058356,11867132,459728,22814808,11407404,
2021-12-01,69516,26235,5622,,24127872,11893061,480327,22825468,11412734,
2021-12-02,71603,26483,5024,,24199475,11919246,501773,22834946,11417473,
2021-12-03,73391,25097,5155,,24272866,11944047,521709,22844676,11422338,
2021-12-04,81128,27783,6056,47270,24353994,11971537,543427,,11428110,807377
2021-12-05,62612,31926,4400,26266,24416606,12003168,570945,,11432223,833539
2021-12-06,38617,19141,2708,16752,24455223,12022020,587371,,11434649,850213
2021-12-07,60259,14846,4457,40943,24515482,12036595,597750,,11438845,891082
2021-12-08,73428,19053,4673,49700,24588910,12055371,612120,,11443251,940704
2021-12-09,74474,18271,4332,51852,24663384,12073333,626051,,11447282,992471
2021-12-10,77454,17587,4641,55218,24740838,12090639,638992,,11451647,1047608
2021-12-11,83154,20402,5816,56924,24823992,12110752,653564,,11457188,1104446
2021-12-12,60740,22696,4150,33852,24884732,12133168,672104,,11461064,1138209
2021-12-13,34917,11596,2405,20893,24919649,12144467,681285,,11463182,1159007
2021-12-14,101946,8997,3854,89052,25021595,12153154,686413,,11466741,1247939
2021-12-15,127665,12428,4499,110703,25149260,12165278,694332,,11470946,1358542
2021-12-16,139314,12452,4237,122612,25288574,12177444,702537,,11474907,1481055
2021-12-17,159136,12396,4504,142213,25447710,12189565,710420,,11479145,1623171
2021-12-18,175557,13521,4915,157078,25623267,12202792,719014,,11483778,1780154
2021-12-19,140409,18154,3928,118294,25763676,12220645,733232,,11487413,1898337
2021-12-20,106808,10305,2742,93716,25870484,12230682,740785,,11489897,1991955
2021-12-21,215203,12962,4306,197913,26085687,12243328,749434,,11493894,2189747
2021-12-22,237189,14419,5191,217694,26322876,12257449,758648,,11498801,2407324
2021-12-23,257396,11712,5075,240516,26580272,12268857,765279,,11503578,2647734
2021-12-24,223370,9443,4554,209311,26803642,12278003,770164,,11507839,2856929
2021-12-25,89689,3884,2501,83316,26893331,12281612,771542,,11510070,2940138
2021-12-26,11892,387,355,11140,26905223,12281707,771566,,11510141,2951148
2021-12-27,46925,1493,1111,44291,26952148,12282955,771941,,11511014,2995319
2021-12-28,144751,6099,3998,134595,27096899,12288760,774031,,11514729,3129783
2021-12-29,175446,9373,4571,161431,27272345,12297838,778829,,11519009,3291087
