"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-09-12,"40-49yrs",1581352,1464576,0,0,1855340,.8523,.7894,.0000
2021-09-12,"50-59yrs",1740908,1649046,0,0,2019276,.8621,.8167,.0000
2021-09-12,"60-69yrs",1738313,1677821,0,0,1813493,.9585,.9252,.0000
2021-09-12,"70-79yrs",1195627,1170064,0,0,1181151,.9999,.9906,.0000
2021-09-12,"80+",746498,731899,0,0,674976,.9999,.9999,.0000
2021-09-12,"Adults_18plus",10668273,9905807,0,0,12076175,.8834,.8203,.0000
2021-09-12,"Ontario_12plus",11252246,10398040,0,0,13038032,.8630,.7975,.0000
2021-09-12,"Undisclosed_or_missing",423,183,0,0,0,.0000,.0000,.0000
2021-09-13,"12-17yrs",584778,493308,0,0,961857,.6080,.5129,.0000
2021-09-13,"18-29yrs",1963897,1689357,0,0,2454802,.8000,.6882,.0000
2021-09-13,"30-39yrs",1705185,1527838,0,0,2077137,.8209,.7355,.0000
2021-09-13,"40-49yrs",1582299,1465905,0,0,1855340,.8528,.7901,.0000
2021-09-13,"50-59yrs",1741590,1650074,0,0,2019276,.8625,.8172,.0000
2021-09-13,"60-69yrs",1738575,1678424,0,0,1813493,.9587,.9255,.0000
2021-09-13,"70-79yrs",1195685,1170237,0,0,1181151,.9999,.9908,.0000
2021-09-13,"80+",746400,731849,0,0,674976,.9999,.9999,.0000
2021-09-13,"Adults_18plus",10673631,9913684,0,0,12076175,.8839,.8209,.0000
2021-09-13,"Ontario_12plus",11258409,10406992,0,0,13038032,.8635,.7982,.0000
2021-09-13,"Undisclosed_or_missing",423,184,0,0,0,.0000,.0000,.0000
2021-09-14,"12-17yrs",585980,494725,0,0,961857,.6092,.5143,.0000
2021-09-14,"18-29yrs",1967509,1694184,0,0,2454802,.8015,.6902,.0000
2021-09-14,"30-39yrs",1707915,1531077,0,0,2077137,.8222,.7371,.0000
2021-09-14,"40-49yrs",1584096,1468153,0,0,1855340,.8538,.7913,.0000
